org_type,district_id,name,address,city,state_abbr,zip,phone,grade_low,grade_high,lea_type_code,state_fips,website,school_count,total_enrollment,diocese_code,primary_state,states,dio_website
district,0100840,Colbert County,425 Highway 72 West,Tuscumbia,AL,35674,(256)386-8565,PK,12,1,01,http://www.colbert.k12.al.us,8,0,,,,
district,0100870,Conecuh County,1455 Ted Bates Road,Evergreen,AL,36401,(251)578-1752,PK,12,1,01,http://www.conecuh.k12.al.us,9,0,,,,
district,0100900,Coosa County,73 Nixburg Road,Rockford,AL,35136,(256)377-4913,KG,12,1,01,http://coosaschools.k12.al.us,2,0,,,,
district,0100930,Covington County,807 C C Baker Ave,Andalusia,AL,36421,(334)222-7571,PK,12,1,01,http://www.cov.k12.al.us,8,0,,,,
district,0100960,Crenshaw County,183 Votec Drive,Luverne,AL,36049,(334)335-6519,PK,12,1,01,http://www.crenshawcounty.schoolinsites.com,4,0,,,,
district,0100990,Cullman City,301 1st St N E,Cullman,AL,35055,(256)775-5803,PK,12,1,01,http://www.cullmancats.net,7,0,,,,
district,0101020,Cullman County,402 Arnold St Ne,Cullman,AL,35055,(256)734-2933,PK,12,1,01,http://www.ccboe.org,27,0,,,,
district,0101050,Dale County,202 S Hwy 123 Suite E,Ozark,AL,36360,(334)774-2355,PK,12,1,01,http://www.dalecountyboe.org,9,0,,,,
district,0101080,Daleville City,626 N Daleville Ave,Daleville,AL,36322,(334)598-2456,PK,12,1,01,http://www.daleville.k12.al.us,3,0,,,,
district,0101110,Dallas County,429 Lauderdale St,Selma,AL,36701,(334)875-3440,PK,12,1,01,http://www.dallask12.org,12,0,,,,
district,0101140,Dekalb County,306 Main St W,Rainsville,AL,35986,(256)638-6921,PK,12,1,01,http://www.dekalbk12.org,15,0,,,,
district,0101170,Decatur City,212 4th Ave Se,Decatur,AL,35601,(256)552-3000,PK,12,1,01,http://www.dcs.edu,21,0,,,,
district,0101200,Demopolis City,609 South Cedar Avenue,Demopolis,AL,36732,(334)289-1670,PK,12,1,01,http://www.dcsedu.com,4,0,,,,
district,0101230,Dothan City,1665 Honeysuckle Road,Dothan,AL,36301,(334)793-1397,PK,12,1,01,http://www.dothan.k12.al.us,18,0,,,,
district,0101260,Elba City,131 Tiger Dr,Elba,AL,36323,(334)897-2801,PK,12,1,01,,3,0,,,,
district,0101290,Elmore County,100 H H Robison Drive,Wetumpka,AL,36092,(334)567-1200,PK,12,1,01,http://www.elmoreco.com,17,0,,,,
district,0101320,Enterprise City,220 Hutchinson St,Enterprise,AL,36330,(334)347-9531,PK,12,1,01,http://www.enterpriseschools.net,10,0,,,,
district,0101350,Escambia County,301 Belleville Ave,Brewton,AL,36426,(251)867-6251,PK,12,1,01,http://escambiak12.net,13,0,,,,
district,0101380,Etowah County,401 Broad Street,Gadsden,AL,35901,(256)549-7560,PK,12,1,01,http://ecboe.org,24,0,,,,
district,0101410,Eufaula City,333 State Docks Road,Eufaula,AL,36027,(334)687-1100,PK,12,1,01,http://www.eufaulacityschools.org,6,0,,,,
district,0101440,Fairfield City,6405 Ave D,Fairfield,AL,35064,(205)783-6850,PK,12,1,01,http://www.fairfield.cyberschool.com,6,0,,,,
district,0101470,Fayette County,103 First Ave Nw,Fayette,AL,35555,(205)932-4611,PK,12,1,01,http://www.fayette.k12.al.us,6,0,,,,
district,0101530,Florence City,102 S Court Street,Florence,AL,35630,(256)768-3000,PK,12,1,01,http://www.florencek12.org,9,0,,,,
district,0101560,Fort Payne City,205 45th St Ne,Fort Payne,AL,35967,(256)845-0915,PK,12,1,01,http://www.fpcsk12.com,5,0,,,,
district,0101590,Franklin County,500 Coffee Ave Ne,Russellville,AL,35653,(256)332-1360,PK,12,1,01,http://www.franklin.k12.al.us,10,0,,,,
district,0101620,Gadsden City,1026 Chestnut St,Gadsden,AL,35901,(256)543-3512,PK,12,1,01,http://www.gcs.k12.al.us,15,0,,,,
district,0101640,Geneva City,511 Panther Drive,Geneva,AL,36340,(334)684-1090,PK,12,1,01,http://www.genevacityschools.com,3,0,,,,
district,0101660,Geneva County,606 S Academy St,Geneva,AL,36340,(334)684-5690,PK,12,1,01,http://www.genevacountyschools.com,10,0,,,,
district,0101680,Greene County,220 Main St,Eutaw,AL,35462,(205)372-3109,PK,12,1,01,http://greenecoboe.greene.k12.al.us/,5,0,,,,
district,0101690,Guntersville City,4200 Highway 79 South,Guntersville,AL,35976,(256)582-3159,PK,12,1,01,http://www.guntersvilleboe.com,4,0,,,,
district,0101710,Hale County,1115 Powers St,Greensboro,AL,36744,(334)624-8836,PK,12,1,01,http://www.halek12.org,7,0,,,,
district,0101720,Haleyville City,2011 20th St,Haleyville,AL,35565,(205)486-9231,PK,12,1,01,http://www.haley-k12.us,4,0,,,,
district,0101730,Hartselle City,305 College St Ne,Hartselle,AL,35640,(256)773-5419,PK,12,1,01,http://www.hartselletigers.org,6,0,,,,
district,0101740,Henry County,300 N Trawick Street,Abbeville,AL,36310,(334)585-2206,PK,12,1,01,http://www.henrycountyboe.org,6,0,,,,
district,0101760,Homewood City,450 Dale Avenue,Homewood,AL,35209,(205)870-4203,PK,12,1,01,http://www.homewood.k12.al.us,5,0,,,,
district,0101770,Houston County,404 West Washington St,Dothan,AL,36302,(334)792-8331,PK,12,1,01,http://www.hcboe.us,16,0,,,,
district,0101800,Huntsville City,714 Bob Wallace Avenue,Huntsville,AL,35801,(256)428-6812,PK,12,1,01,http://www.huntsvillecityschools.org,46,0,,,,
district,0101830,Jackson County,29727 Us Hwy 72 Suite A,Hollywood,AL,35752,(256)259-9500,PK,12,1,01,http://www.jackson.k12.al.us,18,0,,,,
district,0101860,Jacksonville City,320 Branscomb Drive Sw,Jacksonville,AL,36265,(256)782-5682,PK,12,1,01,http://www.jcsboe.org,2,0,,,,
district,0101890,Jasper City,110 W 17th St,Jasper,AL,35501,(205)384-6880,PK,12,1,01,http://www.jasper.k12.al.us,5,0,,,,
district,0101920,Jefferson County,2100 18th Street S,Birmingham,AL,35209,(205)379-2000,PK,12,1,01,http://www.jefcoed.com,57,0,,,,
district,0101950,Lamar County,150 Butler Cir,Vernon,AL,35592,(205)695-7615,PK,12,1,01,http://www.lamarcountyk12.com,5,0,,,,
district,0101980,Lanett City,105 North Lanier Ave,Lanett,AL,36863,(334)644-5900,PK,12,1,01,http://www.lanettcityschools.org,3,0,,,,
district,0102010,Lauderdale County,355 County Road 61,Florence,AL,35634,(256)760-1300,PK,12,1,01,http://www.lcschools.org,15,0,,,,
district,0102040,Lawrence County,14131 Market St,Moulton,AL,35650,(256)905-2400,PK,12,1,01,http://www.lawrenceal.org,14,0,,,,
district,0102070,Lee County,2410 Society Hill Road,Opelika,AL,36804,(334)705-6000,PK,12,1,01,http://www.lee.k12.al.us,15,0,,,,
district,0102100,Limestone County,300 S Jefferson St,Athens,AL,35611,(256)232-5353,PK,12,1,01,http://www.lcsk12.org,17,0,,,,
district,0102130,Linden City,209 N Main St,Linden,AL,36748,(334)295-8802,PK,12,1,01,http://lindencity.org,3,0,,,,
district,0102160,Lowndes County,80 Commerce Street S,Hayneville,AL,36040,(334)548-2131,PK,12,1,01,http://www.lowndesboe.org,9,0,,,,
district,0102190,Macon County,303 Union Springs Road,Tuskegee,AL,36083,(334)727-1600,PK,12,1,01,http://www.maconk12.org,7,0,,,,
district,0102220,Madison County,1275f Jordan Rd Bldg B,Huntsville,AL,35811,(256)852-2557,PK,12,1,01,http://www.mcssk12.org,30,0,,,,
district,0102250,Marengo County,101 North Shiloh,Linden,AL,36748,(334)295-4123,PK,12,1,01,http://marengo.k12.al.us,3,0,,,,
district,0102310,Marion County,188 Winchester Dr,Hamilton,AL,35570,(205)921-3191,PK,12,1,01,http://www.mcbe.net,10,0,,,,
district,0102350,Midfield City,417 Parkwood St,Midfield,AL,35228,(205)923-2262,PK,12,1,01,http://www.midfield.k12.al.us,4,0,,,,
district,0102370,Mobile County,1 Magnum Pass,Mobile,AL,36618,(251)221-4394,PK,12,1,01,http://www.mcpss.com,92,0,,,,
district,0102400,Monroe County,109 Rosenwald Drive,Monroeville,AL,36460,(251)743-2153,PK,12,1,01,http://www.monroe.k12.al.us,9,0,,,,
district,0102430,Montgomery County,632 S Union Street Building C,Montgomery,AL,36104,(334)223-6710,PK,12,1,01,http://www.mps.k12.al.us,51,0,,,,
district,0102480,Morgan County,235 Highway 67 South,Decatur,AL,35603,(256)309-2105,PK,12,1,01,http://www.morgank12.org,18,0,,,,
district,0102490,Mountain Brook City,32 Vine Street,Mountain Brook,AL,35213,(205)871-4608,PK,12,1,01,http://www.mtnbrook.k12.al.us,6,0,,,,
district,0102520,Muscle Shoals City,3200 S Wilson Dam Rd,Muscle Shoals,AL,35661,(256)389-2600,PK,12,1,01,http://www.mscs.k12.al.us,7,0,,,,
district,0102550,Oneonta City,28370 State Highway 75,Oneonta,AL,35121,(205)543-1515,KG,12,1,01,http://www.oneontacityschools.com,3,0,,,,
district,0102580,Opelika City,300 Simmons Street,Opelika,AL,36801,(334)745-9700,PK,12,1,01,http://www.opelikaschools.org,10,0,,,,
district,0102610,Opp City,113 East Hart,Opp,AL,36467,(334)493-3173,PK,12,1,01,http://www.oppcityschools.com,3,0,,,,
district,0102635,Oxford City,402 Main Street,Oxford,AL,36203,(256)241-3140,PK,12,1,01,http://oxfordcityschools.com,7,0,,,,
district,0102640,Ozark City,860 N Us Hwy 231,Ozark,AL,36360,(334)774-5197,PK,12,1,01,http://www.ozarkcityschools.net,6,0,,,,
district,0102650,Pell City,3105 15th Avenue N,Pell City,AL,35125,(205)884-4440,PK,12,1,01,http://www.pellcityschools.net,8,0,,,,
district,0102670,Perry County,200 Monroe St,Marion,AL,36756,(334)683-6528,PK,12,1,01,http://perrycountyal.org,2,0,,,,
district,0102700,Phenix City,1212 Ninth Ave,Phenix City,AL,36867,(334)298-0534,PK,12,1,01,http://www.pcboe.net,12,0,,,,
district,0102730,Pickens County,377 Ladow Center Circle,Carrollton,AL,35447,(205)367-2080,PK,12,1,01,http://www.pickenscountyschools.net,7,0,,,,
district,0102760,Piedmont City,502 Hood St W,Piedmont,AL,36272,(256)447-8831,PK,12,1,01,http://www.piedmont.k12.al.us/websites/PiedmontCitySchools/PiedmontCityDistrict/,3,0,,,,
district,0102790,Pike County,101 W Love Street,Troy,AL,36081,(334)566-1850,PK,12,1,01,http://www.pikecountyschools.com,7,0,,,,
district,0102820,Randolph County,182 Circle Drive,Wedowee,AL,36278,(256)357-4611,PK,12,1,01,http://www.randolphboe.org,8,0,,,,
district,0102850,Roanoke City,557 Main St,Roanoke,AL,36274,(800)674-7890,PK,12,1,01,http://www.roanokecityschools.org,4,0,,,,
district,0102880,Russell County,506 14th St,Phenix City,AL,36867,(334)855-2977,PK,12,1,01,http://myrcsd.org,8,0,,,,
district,0102910,Russellville City,1945 Waterloo Rd,Russellville,AL,35653,(256)331-2000,PK,12,1,01,http://www.rcs.k12.al.us,5,0,,,,
district,0102940,Scottsboro City,305 S Scott Street,Scottsboro,AL,35768,(256)218-2100,PK,12,1,01,http://www.scottsboroschools.net,5,0,,,,
district,0102970,Selma City,2194 Broad Street,Selma,AL,36701,(334)874-1600,PK,12,1,01,http://selmacityschools.org,11,0,,,,
district,0103000,Sheffield City,300 W 6th St,Sheffield,AL,35660,(256)383-0400,PK,12,1,01,http://www.scs.k12.al.us,4,0,,,,
district,0103030,Shelby County,410 E College St,Columbiana,AL,35051,(205)682-7000,PK,12,1,01,http://www.shelbyed.k12.al.us,33,0,,,,
district,0103062,St Clair County,410 Roy Drive,Ashville,AL,35953,(205)594-7131,PK,12,1,01,http://www.sccboe.org,20,0,,,,
district,0103090,Sumter County,Hwy 28 to Country Club Dr,Livingston,AL,35470,(205)652-9605,PK,12,1,01,http://sumter.k12.al.us,4,0,,,,
district,0103120,Sylacauga City,43 N Broadway Avenue,Sylacauga,AL,35150,(256)245-5256,PK,12,1,01,http://www.scsboe.org,4,0,,,,
district,0103150,Talladega City,501 South Street East,Talladega,AL,35160,(256)315-5600,PK,12,1,01,http://www.talladega-cs.net,6,0,,,,
district,0103180,Talladega County,106 W South St,Talladega,AL,35160,(256)315-5126,PK,12,1,01,,18,0,,,,
district,0103210,Tallapoosa County,679 East Columbus Street,Dadeville,AL,36853,(256)825-0746,PK,12,1,01,http://www.tallapoosak12.org,6,0,,,,
district,0103240,Tallassee City,308 King St,Tallassee,AL,36078,(334)283-6864,PK,12,1,01,http://www.tcschools.com,3,0,,,,
district,0103270,Tarrant City,1318 Alabama St,Tarrant,AL,35217,(205)849-3700,PK,12,1,01,http://www.tarrant.k12.al.us,3,0,,,,
district,0103300,Thomasville City,750 Gates Drive,Thomasville,AL,36784,(334)636-9955,PK,12,1,01,http://www.thomasvilleschools.org,3,0,,,,
district,0103330,Troy City,358 Elba Hwy,Troy,AL,36079,(334)566-3741,PK,12,1,01,http://www.troyschools.net,5,0,,,,
district,0103360,Tuscaloosa City,1210 Almon Avenue,Tuscaloosa,AL,35401,(205)759-3560,PK,12,1,01,http://www.tuscaloosacityschools.com,21,0,,,,
district,0103390,Tuscaloosa County,2314 9th St,Tuscaloosa,AL,35403,(205)758-0411,PK,12,1,01,http://www.tcss.net,36,0,,,,
district,0103420,Tuscumbia City,303 North Commons Street East,Tuscumbia,AL,35674,(256)389-2900,PK,12,1,01,http://www.tuscumbia.k12.al.us,6,0,,,,
district,0103430,Vestavia Hills City,1204 Montgomery Hwy,Vestavia Hills,AL,35216,(205)402-5116,PK,12,1,01,http://www.vestavia.k12.al.us,9,0,,,,
district,0103450,Walker County,1710 Alabama Av,Jasper,AL,35501,(205)387-0555,PK,12,1,01,http://www.walkercountyschools.com,19,0,,,,
district,0103480,Washington County,229 Granade St,Chatom,AL,36518,(251)847-2401,PK,12,1,01,http://wcbek12.org,8,0,,,,
district,0103510,Wilcox County,75 Camden Bypass,Camden,AL,36726,(334)682-4716,PK,12,1,01,http://www.wilcoxboe.org,6,0,,,,
district,0103540,Winfield City,481 Apple Ave,Winfield,AL,35594,(205)487-4255,PK,12,1,01,http://www.winfield.k12.al.us,3,0,,,,
district,0103580,Winston County,25101 Highway 195,Double Springs,AL,35553,(205)489-5018,PK,12,1,01,http://www.winstonk12.org,10,0,,,,
district,0103581,Orange Beach City,4544 Orange Beach Blvd,Orange Beach,AL,36561,(251)424-1730,PK,12,1,01,http://orangebeachboe.org,2,0,,,,
district,0103582,Empower Schools of Alabama,751a Academy Drive,Bessemer,AL,35020,(205)413-8600,KG,08,7,01,http://www.empoweral.org,2,0,,,,
district,0103583,Covenant Academy of Mobile,4568 Halls Mill Road,Mobile,AL,36693,(251)510-3671,KG,06,7,01,http://camobile.us,1,0,,,,
district,0103584,Barnabas School of Leadership,280 Headland Ave,Dothan,AL,36303,(901)870-5081,,,7,01,,1,0,,,,
district,0103585,Freedom Prep Academy,630 1st Avenue S,Birmingham,AL,35205,(334)521-6094,KG,01,7,01,,1,0,,,,
district,0103586,Floretta P Carson Visual and Performing Arts,3100 Cottage Hill Road,Mobile,AL,36606,(251)289-9437,06,11,7,01,http://www.fpcvpaa.com,1,0,,,,
district,0103587,Independence Preparatory Academy,4614 Highway 280 1068,Birmingham,AL,35242,(205)346-6366,,,7,01,http://www.learnatiprep.com,1,0,,,,
district,0103588,I Dream Big Charter Schools,3601 Stillman Blvd,Tuscaloosa,AL,35401,(731)293-3677,,,7,01,http://www.idreambigacademy.org,1,0,,,,
district,0200001,Lower Kuskokwim School District,1004 Ron Edwards Memorial Dr,Bethel,AK,99559,(907)543-4912,PK,12,1,02,http://www.lksd.org,29,0,,,,
district,0200003,Lower Yukon School District,100 Airport Rd,Mountain Village,AK,99632,(907)591-2411,PK,12,1,02,http://www.lysd.org/,11,0,,,,
district,0200004,Yupiit School District,1st Main St,Akiachak,AK,99551,(907)825-3600,KG,12,1,02,http://www.yupiit.org,3,0,,,,
district,0200005,Kashunamiut School District,985 Ksd Way,Chevak,AK,99563,(907)858-7713,PK,12,1,02,http://www.chevakschool.org,1,0,,,,
district,0200006,Mount Edgecumbe,1330 Seward Ave,Sitka,AK,99835,(907)966-3201,09,12,5,02,http://www.mehs.us,1,0,,,,
district,0200007,Aleutians East Borough School District,100 Mossberry Ln,Sand Point,AK,99661,(907)383-5222,PK,12,1,02,http://www.aebsd.org,4,0,,,,
district,0200010,Aleutian Region School District,118 E International Airport Rd,Anchorage,AK,99518,(907)277-2648,KG,12,1,02,http://www.aleutregion.org,2,0,,,,
district,0200020,Bering Strait School District,225 Main St,Unalakleet,AK,99684,(907)624-4261,PK,12,1,02,http://www.bssd.org,15,0,,,,
district,0200030,Bristol Bay Borough School District,# 2 School Rd N,Naknek,AK,99633,(907)246-4225,PK,12,1,02,http://www.bbbsd.net,3,0,,,,
district,0200050,Alaska Gateway School District,1313.5 Alaska Hwy,Tok,AK,99780,(907)883-5151,PK,12,1,02,http://www.agsd.us,8,0,,,,
district,0200060,Cordova City School District,675 Second St,Cordova,AK,99574,(907)424-3265,PK,12,1,02,http://www.cordovasd.org,3,0,,,,
district,0200070,Copper River School District,1976 Aurora Dr,Glennallen,AK,99588,(907)822-3234,PK,12,1,02,http://www.crsd.us,5,0,,,,
district,0200090,Craig City School District,100 School Rd,Craig,AK,99921,(907)826-3274,PK,12,1,02,http://www.ccsd.k12.ak.us,4,0,,,,
district,0200100,Delta/greely School District,1664 N Clearwater,Delta Junction,AK,99737,(907)895-4657,PK,12,1,02,http://www.dgsd.us,5,0,,,,
district,0200120,Dillingham City School District,565 Seward St,Dillingham,AK,99576,(907)842-5223,PK,12,1,02,http://www.dlgsd.org,2,0,,,,
district,0200130,Galena City School District,299 Antoski Ave,Galena,AK,99741,(907)656-1883,PK,12,1,02,http://www.galenaalaska.org,4,0,,,,
district,0200150,Ketchikan Gateway Borough School District,2610 Fourth Ave,Ketchikan,AK,99901,(907)247-2109,PK,12,1,02,http://www.kgbsd.org,9,0,,,,
district,0200180,Anchorage School District,5530 E Northern Lights Blvd,Anchorage,AK,99504,(907)742-4000,PK,12,1,02,http://www.asdk12.org,95,0,,,,
district,0200210,Juneau Borough School District,1208 Glacier Ave,Juneau,AK,99801,(907)523-1702,PK,12,1,02,http://www.juneauschools.org,16,0,,,,
district,0200240,Sitka School District,300 Kostrometinoff St,Sitka,AK,99835,(907)747-8622,PK,12,1,02,http://www.sitkaschools.org,6,0,,,,
district,0200270,Haines Borough School District,604 Haines Hwy,Haines,AK,99827,(907)766-6725,PK,12,1,02,http://www.hbsd.net,3,0,,,,
district,0200300,Hoonah City School District,366 Garteeni Hwy,Hoonah,AK,99829,(907)945-3613,PK,12,1,02,http://www.hoonahschools.org,1,0,,,,
district,0200330,Hydaburg City School District,100 Totem Pole Ln,Hydaburg,AK,99922,(907)285-3491,PK,12,1,02,http://www.hydaburg.k12.ak.us,2,0,,,,
district,0200360,Kake City School District,175 Library Place,Kake,AK,99830,(907)785-3741,PK,12,1,02,http://www.kakeschools.com,1,0,,,,
district,0200390,Kenai Peninsula Borough School District,148 N Binkley St,Soldotna,AK,99669,(907)714-8888,PK,12,1,02,http://www.kpbsd.k12.ak.us,42,0,,,,
district,0200450,Klawock City School District,715 Bayview Blvd,Klawock,AK,99925,(907)755-2917,PK,12,1,02,http://www.klawockschool.com,2,0,,,,
district,0200480,Kodiak Island Borough School District,722 Mill Bay Rd,Kodiak,AK,99615,(907)486-7550,PK,12,1,02,http://www.kibsd.org,13,0,,,,
