website,site_title,fax_numbers,found_on,errors
http://lowell.bellinghamschools.org/,Home - Lowell Elementary School,360-676-6430; 360-647-6894; 844-310-9560; 360-647-6816; 360-676-6456; 360-676-6520; 360-676-6410; 360-201-8766; 360-820-6270; 360-676-6446; 360-383-8459; 360-676-4886; 360-676-6404,http://lowell.bellinghamschools.org/our-school/school-directory; http://lowell.bellinghamschools.org/directory,Error fetching http://lowell.bellinghamschools.org/contact: HTTPError; Error fetching http://lowell.bellinghamschools.org/contact-us: HTTPError; Error fetching http://lowell.bellinghamschools.org/contactus: HTTPError; Error fetching http://lowell.bellinghamschools.org/about: HTTPError
http://roosevelt.bellinghamschools.org/,Home - Roosevelt Elementary School,360-676-6440; 360-647-6895; 844-310-9560; 360-647-6816; 360-676-6456; 360-676-6520; 360-647-6820; 360-676-6575,http://roosevelt.bellinghamschools.org/our-school/school-directory; http://roosevelt.bellinghamschools.org/staff/school-directory; http://roosevelt.bellinghamschools.org/directory,Error fetching http://roosevelt.bellinghamschools.org/contact: HTTPError; Error fetching http://roosevelt.bellinghamschools.org/contact-us: HTTPError; Error fetching http://roosevelt.bellinghamschools.org/contactus: HTTPError; Error fetching http://roosevelt.bellinghamschools.org/about: HTTPError
http://cordata.bellinghamschools.org/,Home - Cordata Elementary School,360-676-6461; 360-676-6462; 844-310-9560; 360-647-6816; 360-676-6456; 360-676-6520; 360-676-6430; 360-647-6820; 360-676-6446; 360-676-6420; 360-305-8101; 360-927-0884; 360-676-6410; 360-647-6400,http://cordata.bellinghamschools.org/our-school/school-directory; http://cordata.bellinghamschools.org/directory,Error fetching http://cordata.bellinghamschools.org/contact: HTTPError; Error fetching http://cordata.bellinghamschools.org/contact-us: HTTPError; Error fetching http://cordata.bellinghamschools.org/contactus: HTTPError; Error fetching http://cordata.bellinghamschools.org/about: HTTPError
http://rr.bethelsd.org,,Not found,,"Homepage error: ConnectionError: HTTPConnectionPool(host='rr.bethelsd.org', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002032F967F90>: Failed to resolve 'rr.bethelsd.org' ([Errno 11001] getaddrinfo failed)""))"
http://camas.wednet.edu/liberty/index/htm,Client Challenge,Not found,,
http://www.chelanschools.org/Domain/12,,Not found,,Homepage error: HTTPError: 404 Client Error: Not Found for url: http://www.chelanschools.org/Domain/12
http://clarkston.schoolwires.net/grantham/site/default.asp,,Not found,,"Homepage error: ConnectionError: HTTPConnectionPool(host='clarkston.schoolwires.net', port=80): Max retries exceeded with url: /grantham/site/default.asp (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002032F96A1D0>: Failed to resolve 'clarkston.schoolwires.net' ([Errno 11001] getaddrinfo failed)""))"
http://clarkston.schoolwires.net/eoc/site/default.asp,,Not found,,"Homepage error: ConnectionError: HTTPConnectionPool(host='clarkston.schoolwires.net', port=80): Max retries exceeded with url: /eoc/site/default.asp (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002032F96A550>: Failed to resolve 'clarkston.schoolwires.net' ([Errno 11001] getaddrinfo failed)""))"
http://www.colsd.org,Client Challenge,Not found,,
http://www.concrete.k12.wa.us/elem.htm,,Not found,,Homepage error: HTTPError: 404 Client Error: Not Found for url: https://www.concrete.k12.wa.us/en-US/elem.htm
http://www.conway.k12.wa.us,"Home - Conway School District/Conway School Mt. Vernon, WA.",360-445-5785; 360-445-2831; 360-445-4511,http://www.conway.k12.wa.us; http://www.conway.k12.wa.us/district; http://www.conway.k12.wa.us/district/about; http://www.conway.k12.wa.us/district/business_office; http://www.conway.k12.wa.us/district/business_office/a_s_b_funds; http://www.conway.k12.wa.us/district/business_office/legal_notices,Error fetching http://www.conway.k12.wa.us/contact: HTTPError; Error fetching http://www.conway.k12.wa.us/contact-us: HTTPError; Error fetching http://www.conway.k12.wa.us/contactus: HTTPError; Error fetching http://www.conway.k12.wa.us/directory: HTTPError
http://www.everettsd.org/cascadehs,Cascade High School / Homepage,425-385-6000; 425-385-6002; 425-385-4000; 425-385-6130; 425-385-6007; 425-385-6175; 425-385-6102; 425-385-6006; 425-385-6151; 425-385-6128; 425-385-6124; 425-385-6016; 425-385-6135; 425-385-6043; 425-385-6193; 425-385-6174; 425-385-6146; 425-385-6001; 425-385-6179; 425-385-6103; 425-385-6153; 425-385-6173; 425-385-6119; 425-385-6060; 425-385-6154; 425-385-6166; 425-385-6015; 425-385-6145; 425-385-7300; 425-385-6182; 425-385-6176; 425-385-6150; 425-385-6169; 425-385-6127; 425-385-6021; 425-385-6024; 425-385-6012; 425-385-6117; 425-385-6187; 425-385-6163; 425-385-6055; 425-385-6191; 425-385-6050; 425-385-6197; 425-385-6125; 425-385-6033; 425-385-6037; 425-385-6189; 425-385-6190; 425-385-6161; 425-385-6093; 425-385-6030; 425-385-6075; 425-385-6170; 425-385-6022; 425-385-6144; 425-385-6118; 425-385-6121; 425-212-5340; 425-385-6195; 425-385-6181; 425-385-6010; 425-385-6167; 425-385-6168; 425-385-6192; 425-385-6147; 425-385-6115; 425-385-6120; 425-385-6069; 425-385-6134; 425-385-6178; 425-385-6112; 425-385-6198; 425-385-6014; 425-385-6159; 425-385-6013; 425-385-6025; 425-385-6142; 425-385-6172; 425-385-6139; 425-385-6017; 425-385-6104; 425-385-6155; 425-385-6105; 425-385-6077; 425-385-6158; 425-385-6032; 425-385-6122; 425-385-6140; 425-385-6171; 425-385-6111; 425-385-6106; 425-385-6113; 425-385-6114; 425-385-6090; 425-385-6098; 425-385-6157,http://www.everettsd.org/cascadehs; https://www.everettsd.org/Domain/4; http://www.everettsd.org/domain/359; http://www.everettsd.org/site/Default.aspx?PageType=1&SiteID=8&ChannelID=358&DirectoryType=6target=_blank; http://www.everettsd.org/site/Default.aspx?PageType=1&SiteID=8&ChannelID=358&DirectoryType=6; http://www.everettsd.org/; https://www.everettsd.org/site/Default.aspx?PageID=10&DomainID=8#calendar8/20260216/event/300159,Error fetching http://www.everettsd.org/contact: HTTPError; Error fetching http://www.everettsd.org/contact-us: HTTPError; Error fetching http://www.everettsd.org/contactus: HTTPError; Error fetching http://www.everettsd.org/directory: HTTPError
http://www.everettsd.org/jacksones,Jackson Elementary School / Homepage,425-385-5600; 425-385-5602; 425-385-4000; 425-385-5661; 425-385-5627; 425-385-5678; 425-385-5631; 425-385-5667; 425-385-5621; 425-385-5666; 425-385-5625; 425-385-5669; 425-385-5680; 425-385-5671; 425-385-5622; 425-385-5601; 425-385-5639; 425-385-5665; 425-385-6234; 425-385-5640; 425-385-5608; 425-385-5641; 425-385-5620; 425-385-5650; 425-385-5697,http://www.everettsd.org/jacksones; https://www.everettsd.org/Domain/4; http://www.everettsd.org/domain/1410; http://www.everettsd.org/site/Default.aspx?PageType=1&SiteID=22&ChannelID=336&DirectoryType=6; http://www.everettsd.org/; http://www.everettsd.org/site/Default.aspx?PageType=15&SiteID=22&SectionMax=15&DirectoryType=6; https://www.everettsd.org/domain/1444,Error fetching http://www.everettsd.org/contact: HTTPError; Error fetching http://www.everettsd.org/contact-us: HTTPError; Error fetching http://www.everettsd.org/contactus: HTTPError; Error fetching http://www.everettsd.org/directory: HTTPError
http://www.everettsd.org/portgardner,Port Gardner K-12 / Homepage,425-385-5150; 425-385-5102; 425-385-5105; 425-385-4000,http://www.everettsd.org/portgardner; https://www.everettsd.org/Domain/4; http://www.everettsd.org/domain/2461; http://www.everettsd.org/; https://www.everettsd.org/Page/2#calendar1/20221117/month; https://www.everettsd.org/Page/4733; http://www.everettsd.org/site/Default.aspx?PageType=15&SiteID=1995&SectionMax=15&DirectoryType=6,Error fetching http://www.everettsd.org/contact: HTTPError; Error fetching http://www.everettsd.org/contact-us: HTTPError; Error fetching http://www.everettsd.org/contactus: HTTPError; Error fetching http://www.everettsd.org/directory: HTTPError
http://www.everettsd.org/forestview,Forest View Elementary School / Homepage,425-385-7900; 425-385-7902; 425-385-7905; 425-385-4000; 425-385-7200; 425-385-7901,http://www.everettsd.org/forestview; https://www.everettsd.org/Domain/4; http://www.everettsd.org/domain/1416; http://www.everettsd.org/site/Default.aspx?PageType=1&SiteID=19&ChannelID=348&DirectoryType=6; http://www.everettsd.org/; https://www.everettsd.org/site/Default.aspx?PageID=32&DomainID=19#calendar19/20260216/event/300159; https://www.everettsd.org/site/Default.aspx?PageID=32&DomainID=19#calendar19/20260217/event/300159,Error fetching http://www.everettsd.org/contact: HTTPError; Error fetching http://www.everettsd.org/contact-us: HTTPError; Error fetching http://www.everettsd.org/contactus: HTTPError; Error fetching http://www.everettsd.org/directory: HTTPError
http://hedden.fifeschools.com,Home - Alice V. Hedden Elementary School,Not found,,Error fetching http://hedden.fifeschools.com/contact: HTTPError; Error fetching http://hedden.fifeschools.com/contact-us: HTTPError; Error fetching http://hedden.fifeschools.com/contactus: HTTPError; Error fetching http://hedden.fifeschools.com/directory: HTTPError; Error fetching http://hedden.fifeschools.com/staff: HTTPError; Error fetching http://hedden.fifeschools.com/about: HTTPError
http://www.lkstevens.wednet.edu/lsms/,Home - Lake Stevens Middle School,(425) 335-1544; (425) 335-1564; (425) 335-1500; (425) 335-1549; (425) 335-1501; (425) 335-1503; (425) 335-1566; (425) 335-1506; (425) 335-1550; (425) 293-8096; (425) 335-1515; (425) 335-1630; (425) 335-1530; (425) 335-1510; (425) 335-1585; (425) 335-1545; (425) 335-1525; (425) 335-1520; (425) 335-1690; (425) 335-1535; (425) 335-1594; (425) 335-1643,http://www.lkstevens.wednet.edu/lsms/; https://www.lkstevens.wednet.edu/our-district/publications-reports; https://www.lkstevens.wednet.edu/staff-resources; https://www.lkstevens.wednet.edu; http://www.lkstevens.wednet.edu/contact; http://www.lkstevens.wednet.edu/directory,Error fetching http://www.lkstevens.wednet.edu/our-school/administrative-contacts: HTTPError; Error fetching http://www.lkstevens.wednet.edu/our-school/counseling-center/meet-our-staff: HTTPError; Error fetching http://www.lkstevens.wednet.edu/our-school/school-directory: HTTPError; Error fetching http://www.lkstevens.wednet.edu/contact-us: HTTPError; Error fetching http://www.lkstevens.wednet.edu/contactus: HTTPError
http://Audubon.lwsd.org,Home - John James Audubon Elementary,425-936-2501; 425-936-2500; 425-882-3422; 425-298-8310; 425-529-5763; 855-237-4828; 425-936-1333; 425-936-1289; 425-936-1407,http://Audubon.lwsd.org/about-us/contact-us; http://Audubon.lwsd.org/contact-us,Error fetching http://Audubon.lwsd.org/contact: HTTPError; Error fetching http://Audubon.lwsd.org/contactus: HTTPError; Error fetching http://Audubon.lwsd.org/directory: HTTPError
http://Keller.lwsd.org,Home - Helen Keller Elementary,(425) 936-2581; (425) 936-2580; (425) 298-8330; 425-529-5763; 855-237-4828; 425-936-1333; 425-936-1289; 425-936-1407,http://Keller.lwsd.org/about-us/contact-us; http://Keller.lwsd.org/contact; http://Keller.lwsd.org/contact-us,Error fetching http://Keller.lwsd.org/contactus: HTTPError; Error fetching http://Keller.lwsd.org/directory: HTTPError
http://LWHS.lwsd.org,Home - Lake Washington High School,425-936-1700; 425-576-0539; 425-936-1702; 425-936-1750; 425-936-1701; 425-936-1711; 425-529-5763; 855-237-4828; 425-936-1333; 425-936-1289; 425-936-1407,http://LWHS.lwsd.org/about-us/contact-us; http://LWHS.lwsd.org/contact; http://LWHS.lwsd.org/contact-us,Error fetching http://LWHS.lwsd.org/contactus: HTTPError; Error fetching http://LWHS.lwsd.org/directory: HTTPError
http://RHMS.lwsd.org,Home - Rose Hill Middle School,Not found,,Error fetching http://RHMS.lwsd.org/contactus: HTTPError; Error fetching http://RHMS.lwsd.org/directory: HTTPError
http://Rockwell.lwsd.org,Home - Norman Rockwell Elementary,425-936-2671; 425-936-2670; 425-885-5528; 425-298-8349; 425-529-5763; 855-237-4828; 425-936-1333; 425-936-1289; 425-936-1407,http://Rockwell.lwsd.org/about-us/contact-us; http://Rockwell.lwsd.org/contact; http://Rockwell.lwsd.org/contact-us,Error fetching http://Rockwell.lwsd.org/contactus: HTTPError; Error fetching http://Rockwell.lwsd.org/directory: HTTPError
http://ICS.lwsd.org,Home - International Community School,425-936-2380; 425-576-1515; 425-936-2381; 425-298-8328; 425-529-5763; 855-237-4828; 425-936-1333; 425-936-1289; 425-936-1407,http://ICS.lwsd.org/about-us/contact-us; http://ICS.lwsd.org/contact; http://ICS.lwsd.org/contact-us,Error fetching http://ICS.lwsd.org/contactus: HTTPError; Error fetching http://ICS.lwsd.org/directory: HTTPError
http://Blackwell.lwsd.org,Home - Elizabeth Blackwell Elementary,425-936-2520; 425-868-0832; 425-936-2521; 425-298-8314; 425-529-5763; 855-237-4828; 425-936-1333; 425-936-1289; 425-936-1407,http://Blackwell.lwsd.org/about-us/contact-us; http://Blackwell.lwsd.org/contact-us,Error fetching http://Blackwell.lwsd.org/contact: HTTPError; Error fetching http://Blackwell.lwsd.org/contactus: HTTPError; Error fetching http://Blackwell.lwsd.org/directory: HTTPError
http://Carson.lwsd.org,Home - Rachel Carson Elementary,425-936-2751; 425-936-2750; 425-298-8319; 425-529-5763; 855-237-4828; 425-936-1333; 425-936-1289; 425-936-1407,http://Carson.lwsd.org/about-us/contact-us; http://Carson.lwsd.org/about-us/quick-facts; http://Carson.lwsd.org/contact; http://Carson.lwsd.org/contact-us,Error fetching http://Carson.lwsd.org/contactus: HTTPError; Error fetching http://Carson.lwsd.org/directory: HTTPError
http://www.lopezislandschool.org,Home - Lopez Island School District,360.468.2202; 360.468.2212,http://www.lopezislandschool.org; https://www.lopezislandschool.org/; http://www.lopezislandschool.org/; http://www.lopezislandschool.org/district_info; http://www.lopezislandschool.org/district_info/non_discrimination_notice; http://www.lopezislandschool.org/district_info/our_schools; http://www.lopezislandschool.org/district_info/our_schools/lopez_elementary,Error fetching http://www.lopezislandschool.org/contact: HTTPError; Error fetching http://www.lopezislandschool.org/contact-us: HTTPError; Error fetching http://www.lopezislandschool.org/contactus: HTTPError; Error fetching http://www.lopezislandschool.org/directory: HTTPError
http://morton.k12.wa.us,Client Challenge,Not found,,
http://hilderpearson.nkschools.org/,Home - Hilder Pearson Elementary,(360) 396-3750; (360) 396-3918; (360) 396-3752; (360) 396-3751; (360) 396-3765; (360) 396-3754; (360) 396-3769; 360-396-3018; 360-396-3042; 360-396-3039; 360-396-3020; (360) 396-3072; (360) 396-3098; (360) 396-3937; (360) 396-3355; (360) 396-3700; (360) 396-3400; (360) 396-3300; (360) 396-3100; (360) 396-3500; (360) 396-3200; (360) 396-3800; (360) 396-3850; (360) 396-3600,http://hilderpearson.nkschools.org/district; http://hilderpearson.nkschools.org/district/attendance; http://hilderpearson.nkschools.org/district/attendance-boundaries,Error fetching http://hilderpearson.nkschools.org/contact: HTTPError; Error fetching http://hilderpearson.nkschools.org/contact-us: HTTPError; Error fetching http://hilderpearson.nkschools.org/contactus: HTTPError; Error fetching http://hilderpearson.nkschools.org/directory: HTTPError
http://suquamish.nkschools.org/,Home - Suquamish Elementary,(360) 396-3850; (360) 396-3916; (360) 396-3852; (360) 396-3851; (360) 396-3857; (360) 396-3854; (360) 396-3855; 360-396-3018; 360-396-3042; 360-396-3039; 360-396-3020; (360) 396-3072; (360) 396-3099; (360) 396-3929; (855) 904-5171; (360) 396-3953; (360) 396-3279,http://suquamish.nkschools.org/our-school/contact-us; http://suquamish.nkschools.org/families-communities/who-to-contact,Error fetching http://suquamish.nkschools.org/contact: HTTPError; Error fetching http://suquamish.nkschools.org/contact-us: HTTPError; Error fetching http://suquamish.nkschools.org/contactus: HTTPError; Error fetching http://suquamish.nkschools.org/directory: HTTPError
http://davidwolfle.nkschools.org/,Home - David Wolfle Elementary,(360) 396-3700; (360) 396-3917; (360) 396-3702; (360) 396-3701; (360) 396-3716; (360) 396-3704; (360) 396-3725; 360-396-3018; 360-396-3042; 360-396-3039; 360-396-3020; (360) 396-3072; (360) 396-3099; (360) 396-3929; (855) 904-5171; (360) 396-3749; (360) 396-3953; (360) 396-3279,http://davidwolfle.nkschools.org/our-school/contact-us; http://davidwolfle.nkschools.org/families-communities/who-to-contact,Error fetching http://davidwolfle.nkschools.org/contact: HTTPError; Error fetching http://davidwolfle.nkschools.org/contact-us: HTTPError; Error fetching http://davidwolfle.nkschools.org/contactus: HTTPError; Error fetching http://davidwolfle.nkschools.org/directory: HTTPError
http://www.nmsd.wednet.edu/2/Home,Client Challenge,Not found,,
http://www.nsd.org/kenmorejh,,Not found,,Homepage error: HTTPError: 404 Client Error: Not Found for url: https://www.nsd.org/kenmorejh
http://www.nsd.org/hollywoodhill,Home - Hollywood Hill Elementary,425-408-4710; 425-408-4702; 425-408-4706; 425-408-4700,http://www.nsd.org/hollywoodhill,Error fetching http://www.nsd.org/our-school/administration-example-clone: HTTPError; Error fetching http://www.nsd.org/our-school/school-directory: HTTPError; Error fetching http://www.nsd.org/contact-us: HTTPError; Error fetching http://www.nsd.org/contactus: HTTPError
http://www.omaksd.org,Client Challenge,Not found,,
http://jes.Pullmanschools.org,Jefferson Elementary - Home,509-332-2617; 509-332-0680; (509) 332-3144; (509) 332-3584; (509) 332-3581; (509) 336-7202; (509) 334-5641; (509) 336-7205; (509) 334-1800; (509) 334-3411; (509) 332-1551,http://jes.Pullmanschools.org; http://jes.Pullmanschools.org/school-board; http://jes.Pullmanschools.org/about-parentsquare; http://jes.Pullmanschools.org/234750_2; http://jes.Pullmanschools.org/staff-directory; http://jes.Pullmanschools.org/index.php?pageID=smartSiteFeed&psqFeed=true&articleID=69268538; http://jes.Pullmanschools.org/contact-us,Error fetching http://jes.Pullmanschools.org/64325_1: HTTPError; Error fetching http://jes.Pullmanschools.org/contact: HTTPError; Error fetching http://jes.Pullmanschools.org/contactus: HTTPError; Error fetching http://jes.Pullmanschools.org/directory: HTTPError
http://lms.pullmanschools.org,Lincoln Middle School - Home,(509) 334-3411; (509) 336-7203; (509) 332-3144; (509) 332-3584; (509) 332-3581; (509) 336-7202; (509) 334-5641; (509) 332-2617; (509) 336-7205; (509) 334-1800; (509) 332-1551,http://lms.pullmanschools.org; http://lms.pullmanschools.org/about-parentsquare; http://lms.pullmanschools.org/234748_2; http://lms.pullmanschools.org/61277_1; http://lms.pullmanschools.org/staff; http://lms.pullmanschools.org/index.php?pageID=smartSiteFeed&psqFeed=true&articleID=69268538; http://lms.pullmanschools.org/contact-us,Error fetching http://lms.pullmanschools.org/district-staff-portal: HTTPError; Error fetching http://lms.pullmanschools.org/contact: HTTPError; Error fetching http://lms.pullmanschools.org/contactus: HTTPError; Error fetching http://lms.pullmanschools.org/directory: HTTPError
http://www.raymondk12.org,Home - Raymond School District,Not found,,Error fetching http://www.raymondk12.org/contact: HTTPError; Error fetching http://www.raymondk12.org/contact-us: HTTPError; Error fetching http://www.raymondk12.org/contactus: HTTPError; Error fetching http://www.raymondk12.org/directory: HTTPError; Error fetching http://www.raymondk12.org/about: HTTPError
http://www.rentonschools.us/brynmawr,,Not found,,Homepage error: HTTPError: 404 Client Error: Not Found for url: https://www.rentonschools.us/brynmawr
http://www.rentonschools.us/nelsen,,Not found,,Homepage error: HTTPError: 404 Client Error: Not Found for url: https://www.rentonschools.us/nelsen
http://www.rentonschools.us/lindbergh,,Not found,,Homepage error: HTTPError: 404 Client Error: Not Found for url: https://www.rentonschools.us/lindbergh
http://www.rentonschools.us/sierraheights,,Not found,,Homepage error: HTTPError: 404 Client Error: Not Found for url: https://www.rentonschools.us/sierraheights
http://www.rentonschools.us/tiffanypark,,Not found,,Homepage error: HTTPError: 404 Client Error: Not Found for url: https://www.rentonschools.us/tiffanypark
http://www.ridgefieldsd.org/o/high-school,Client Challenge,Not found,,
http://www.ridgefieldsd.org/o/union-ridge-elementary,Client Challenge,Not found,,
http://www.ridgefieldsd.org/o/middle-school,Client Challenge,Not found,,
http://rhs.rochester.wednet.edu/,Client Challenge,Not found,,
http://rms.royalsd.org/,Royal Middle School - Home,+1 509-346-2268; +1 509-346-2269; 509-346-2268; 509-346-2269; +1 509-346-2222; +1 509-346-8746; 509-346-2222,http://rms.royalsd.org/; http://rms.royalsd.org/contact-us; http://rms.royalsd.org/contact-us-home; http://rms.royalsd.org/261952_2,Error fetching http://rms.royalsd.org/google.com: HTTPError; Error fetching http://rms.royalsd.org/contact: HTTPError; Error fetching http://rms.royalsd.org/contactus: HTTPError; Error fetching http://rms.royalsd.org/directory: HTTPError; Error fetching http://rms.royalsd.org/staff: HTTPError; Error fetching http://rms.royalsd.org/about: HTTPError
http://hs.tonasket.wednet.edu,Home - Tonasket High School,509-486-2161; 509-486-4382; (509) 486-2162; (509) 486-2126; 509-486-1263; (509) 486-4933; (509) 486-2164; (509) 486-2147; (509) 486-1576; (509) 486-2665; (509) 486-1428; (509) 486-1691,http://hs.tonasket.wednet.edu; http://hs.tonasket.wednet.edu/district; http://hs.tonasket.wednet.edu/for_staff; http://hs.tonasket.wednet.edu/contact_us; http://hs.tonasket.wednet.edu/contact_us/staff_directory; http://hs.tonasket.wednet.edu/contact_us/office_phone_directory; http://hs.tonasket.wednet.edu/contact_us/staff_directory/,Error fetching http://hs.tonasket.wednet.edu/contact: HTTPError; Error fetching http://hs.tonasket.wednet.edu/contact-us: HTTPError; Error fetching http://hs.tonasket.wednet.edu/contactus: HTTPError; Error fetching http://hs.tonasket.wednet.edu/directory: HTTPError
http://www.toppenish.wednet.edu/Domain/130,,Not found,,Homepage error: HTTPError: 404 Client Error: Not Found for url: https://www.toppenish.wednet.edu/Domain/130
http://www.toppenish.wednet.edu/Domain/155,,Not found,,Homepage error: HTTPError: 404 Client Error: Not Found for url: https://www.toppenish.wednet.edu/Domain/155
http://alki.vansd.org,Alki Middle School – Home of the Wolves,360-313-3200; 360-313-1401; 360-313-3201; 360-313-3220; 360-313-3210,https://alki.vansd.org/directory-and-staff/; http://alki.vansd.org/directory,Error fetching http://alki.vansd.org/contact-us: HTTPError; Error fetching http://alki.vansd.org/contactus: HTTPError
http://eisenhower.vansd.org,Eisenhower Elementary School – Home of the Eagles,360-313-1700; 360-313-1701; 360-313-1404; 360-313-5400; 360-313-1703,http://eisenhower.vansd.org; http://eisenhower.vansd.org; http://eisenhower.vansd.org/basics/attendance,Error fetching http://eisenhower.vansd.org/contact: HTTPError; Error fetching http://eisenhower.vansd.org/contact-us: HTTPError; Error fetching http://eisenhower.vansd.org/contactus: HTTPError; Error fetching http://eisenhower.vansd.org/directory: HTTPError
http://bay.vansd.org,Hudson's Bay High School – Home of the Eagles,360-313-4400; 360-313-4440; 360-313-4413; 360-313-4401; 360-313-4431; 360-313-4408; 360-313-4433; 360-313-4432; 360-313-4435,https://bay.vansd.org/directory-staff/; http://bay.vansd.org/directory,Error fetching https://bay.vansd.org/?page_id=618: HTTPError; Error fetching http://bay.vansd.org/contact-us: HTTPError; Error fetching http://bay.vansd.org/contactus: HTTPError
http://lchs.vansd.org,,Not found,,"Homepage error: ConnectionError: HTTPConnectionPool(host='lchs.vansd.org', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000002032F963310>: Failed to resolve 'lchs.vansd.org' ([Errno 11001] getaddrinfo failed)""))"
